lexeme                         lineno                         tokenName                      valueIfNumber                  parentNodeSymbol               isLeafNode                     NodeSymbol                    
---                            26                             ---                            ---                            declarations                   No                             declarations                  
---                            28                             TK_TYPE                        ---                            declaration                    Yes                           ---                           
---                            28                             ---                            ---                            declarations                   No                             declaration                   
---                            28                             TK_REAL                        ---                            primitiveDatatype              Yes                           ---                           
---                            28                             ---                            ---                            dataType                       No                             primitiveDatatype             
---                            28                             ---                            ---                            declaration                    No                             dataType                      
---                            28                             TK_COLON                       ---                            declaration                    Yes                           ---                           
---                            28                             TK_ID                          ---                            declaration                    Yes                           ---                           
---                            28                             TK_SEM                         ---                            global_or_not                  Yes                           ---                           
---                            28                             ---                            ---                            declaration                    No                             global_or_not                 
---                            27                             ---                            ---                            declarations                   No                             declarations                  
---                            29                             ---                            ---                            declarations                   Yes                           EPSILON                       
---                            28                             ---                            ---                            declarations                   No                             declarations                  
---                            29                             TK_ID                          ---                            singleOrRecId                  Yes                           ---                           
---                            29                             ---                            ---                            assignmentStmt                 No                             singleOrRecId                 
---                            29                             ---                            ---                            singleOrRecId                  Yes                           option_single_constructed     
---                            29                             ---                            ---                            stmt                           No                             assignmentStmt                
---                            29                             TK_ASSIGNOP                    ---                            assignmentStmt                 Yes                           ---                           
---                            29                             ---                            ---                            assignmentStmt                 Yes                           arithmeticExpression          
---                            29                             TK_SEM                         ---                            assignmentStmt                 Yes                           ---                           
---                            29                             ---                            ---                            otherStmts                     No                             stmt                          
---                            25                             ---                            ---                            stmts                          No                             otherStmts                    
---                            29                             ---                            ---                            otherStmts                     Yes                           otherStmts                    
---                            25                             ---                            ---                            stmts                          Yes                           returnStmt                    
---                            24                             TK_END                         ---                            mainFunction                   Yes                           ---                           
